Survey Information
ID,23
Title,eNPS March 2025
Created At,2025-03-17 03:21:16
Buyer Name,Johnny & Jugnu

Employee Statistics
Total Filtered Employees,631
Employees With Responses,454
Pending Employees,177

Response Number,Branch,Designation,Employment type,Time spent with company,"I feel comfortable approaching my Branch Leader when I have doubts or concerns. 
",My Branch Leader takes timely and effective action on employee concerns,I do not feel comfortable reporting workplace issues due to fear of retaliation from management.,My Branch Leader is actively present and engaged in daily operations.,My Branch Leader regularly recognises and appreciates good performance during shifts.,"My Branch Leader clearly communicates company policies, strategies, and changes.",I have always been treated with fairness and respect. ,I feel mentally and emotionally comfortable in my branch.,My colleagues support me during both good and difficult times.,"I feel my workplace is free from verbal, physical or emotional mistreatment.",My colleagues do not make inappropriate comments about my personal or physical attributes.,I feel accepted as part of my team. ,"Everyone at my branch is given equal opportunities for hiring, feedback, and support.",I feel like the workload is fairly distributed among team members,Promotions and career growth at JJ are based on skills and performance rather than favouritism.,I consistently receive constructive feedback from my Manager that helps me improve my performance.,My Manager consistently provides me with guidance for my growth and development.,"I understand JJ’s core values [be the best, empathy, we are one, resilience, happiness, sincerity, homie and innovation] and can apply them in my personal and professional life.",I am satisfied with my salary,I am satisfied with the perks and benefits provided by the Company.,My HR Team is approachable and addresses my concerns in a timely manner.,My company invests in my training and helps me grow in my job,I feel inspired by my training team to be better.,The training I received from my training team helped me do my job better.,"I feel that workplace safety standards and protocols are properly followed, and I feel physically safe at work.","On a scale of 1 to 10, how likely are you to recommend JJ as a workplace to your friends and family? ",What improvements would enhance your experience at JJ?
Response_350,Bahria Town,Crew,Contractual,0-3 months,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,8,Kitchen Ac 
Response_351,Bahria Town,Crew,Permanent,0-3 months,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,All is well no issues..
Response_352,Emporium Branch,Crew,Contractual,More than 3 years,4. strongly agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,All is Good
Response_353,Emporium Branch,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,10 = Extremely likely,Everything is good 
Response_354,Emporium Branch,Crew,Permanent,3-6 months,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,8,Communication gap Khatam kr k 
Response_355,Emporium Branch,Crew,Contractual,0-3 months,2. disagree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,9,"First Of all there should be Special discount for Crew members so we can also enjoy food without any hesitation.
"
Response_356,Cloud Kitchen,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,Moje jj me 5 years ho rhy hai jb new aya tha tb salary 30 plus bn jati thi lkin ab 5 sall k bad bi 33 hai is mamly me thori preshani hai 🥹
Response_357,Phase 6,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,"3. Agree, 4. Strongly Agree",4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"All ok im very happy to work here and very safe Environment all manegment and staff very helpful very proud feel to a family part off JJ 😎 
Best wishes for JJ "
Response_358,Phase 6,Crew,Contractual,0-3 months,4. strongly agree,3. Agree,2. Disagree,"3. Agree, 4. Strongly Agree",4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,میں زاہنت کے مطابق جے جے کی تمام تر سہولیات بہت اچھی ہیں جے جے is the best place for working and grow in life
Response_359,Phase 6,Delivery Rider,Part time,0-3 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,Sab sa phala jj ko khena thek karna chaya or jj ko chaya ka salri jo ha wo bike brand sa kam data ha as lya jj ko chaya ka rider ke salri jo ha wo thori zayda kara  or jj ma salri ka issu bhot ha aon ka system ma bhot sa issue ha jis wja sa humha malsa hota ha to plz ap ko chaya ka ka ap apna system ko be bhtr kara  
Response_360,Phase 6,Delivery Rider,Permanent,More than 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,"J&J is a good company.
I like it 💕 💕.
Good Working All Employees.
"
Response_361,Emporium Branch,Crew,Contractual,More than 1 year,3. agree,3. Agree,2. Disagree,4. Strongly Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,8,"Boys ki salary Kam a girls ki nisbat Hamari  bhi fuel allowance honi Chahiye equality Tu nhi ha demands boys receive krta ha na Ka girls 
Thanks"
Response_362,Phase 6,Delivery Rider,Part time,3-6 months,4. strongly agree,3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,"Hamy order late milta h kitchen sa even k phly Foodpanda ko prefer kia jata h then hmy order milta h 
Khana ki quality achi honi chiye phly sa Kuch behtar h but menu acha kr dain.
Part timer ko unki Marzi sa shift di jay taky wo apni first job ko b daikh sakain
Over all jj best place for work "
Response_363,Phase 6,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,9,"All ok  but if fesilite issue needs too fast resolve. 
Agar kesey ka mahman  aae to food discount hona chahya plase"
Response_364,Phase 6,Crew,Contractual,6 months to 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,9,Porri team ko hamesha apishad kia jay ta k team khosh rh kr  dosry kam karny ki koshish kry jo nhi aty ha phly  or agy brny ki koshish kry
Response_365,Phase 6,Crew,Part time,6 months to 1 year,1. strongly disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,10 = Extremely likely,"Meri jj me hiring ko 6 mounth ya is se zyada ho gay hen.
3 months mujh kitchen me rakha gya or mere se sari demands received kerwai gai.
Us ke bd 3se4 months mujh foh me ay ko ho gay hen but mujh starving ke doran bi starving chor ker demand received kerni perti he jis me daily basis per chicken ki demand or souse ki demand 70% he.
But me Chahta hu ke sab team member mil ker wazni Kam kren na ke new persons se zyada wazni Kam kerwaya jay.
Is bary me mene apny bl se bi discus Kiya tha but unho ne kitchen se foh me move ker diya.
Masla ye he ke seniors mere se foh me serving bi kerwaty hen or demands bi received kerwaty hen jis se mene kabi mana ni kiya Lekin mujh mently dishards feelings ati hen kiuk yaha koi aprishate kerny Wala ni he.
Issues or bi bht se hen but me Chahta hu branch per personaly 1 o 1 ho taky issues khatam ho saken.
Mera mashwara he branch me emloy box ho jis me compains her person direct hedoffice ko ker saky."
Response_366,Emporium Branch,Assistant Branch Leader,Permanent,6 months to 1 year,3. agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,2. Disagree,3. Agree,1. Strongly Disagree,1. Strongly Disagree,4. Strongly Agree,"1 = Not at all likely, 9",Need some changes required in company policy
Response_367,Emporium Branch,BOH Manager,Permanent,More than 1 year,2. disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,1. Strongly Disagree,4. Strongly Agree,9,"Team k concerns ko Sunna or un pr ghor kr k un ko thek b krna chahye Sirf feedbacks hi Kafi nhi un pr implement b hona chahye 
Strong follow up hona zruri hai 
Company k decisions strong and healthy hony chahye Jo team ko motivate rkhen asi chezen na Hun k  team ko mjburi may JJ may job krni  pry bulky Dil Sy kren"
Response_368,Johar Town Branch,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,I think that appreciation in a team should be at hello and other factors like that also be concerned to crew members
Response_369,Johar Town Branch,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,FOH & BOH  opportunities For crew 
Response_370,Wehshi Lab,Crew,Permanent,More than 3 years,1. strongly disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,All ok
Response_371,Wehshi Lab,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,All ok
Response_372,Wehshi Lab,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,"1. Strongly Disagree, 4. Strongly Agree",10 = Extremely likely,.
Response_373,Wehshi Lab,Crew,Permanent,0-3 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Khana surve karna ka lia larka aik alada Huna chiya washiii lab ma qu ka aik banda kam kar ka aye to use bi khana surve kia jaye
Response_374,Wehshi Lab,Crew,Contractual,More than 1 year,1. strongly disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,8,Selry k Sath over time bhi start kia jay pehly ki tarha
Response_375,Wehshi Lab,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Salary ka sat over time dia jay Baki sab ok ha 
Response_376,Wehshi Lab,Crew,Contractual,More than 1 year,1. strongly disagree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,1. Strongly Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,Over time
Response_377,Wehshi Lab,Crew,Part time,3-6 months,3. agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,All good 
Response_378,Phase 4 (CC),Delivery Rider,Part time,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"Nothing.
All ok"
Response_379,Phase 4 (CC),Crew,Part time,6 months to 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,10 = Extremely likely,Full time ho jay 
Response_380,Phase 4 (CC),Delivery Rider,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Focus on regularly training session 
Response_381,Phase 4 (CC),Crew,Part time,3-6 months,3. agree,4. Strongly Agree,2. Disagree,2. Disagree,2. Disagree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,2. Disagree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,All good and best experience 
Response_382,Phase 4 (CC),Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,Everything is ok 
Response_383,Phase 4 (CC),Delivery Rider,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Sub thek hai
Response_384,Phase 4 (CC),Delivery Rider,Permanent,More than 3 years,3. agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,I think company should work on our salary 
Response_385,Phase 4 (CC),Delivery Rider,Part time,More than 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,Everything is fine 
Response_386,Phase 4 (CC),Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,7,"Please Increase UHC holding timings...

"
Response_387,Phase 4 (CC),Crew,Contractual,More than 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,Everything is nice here nothing and even become more effective by our Leaders.
Response_388,Wehshi Lab,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"All good 
Keep it up "
Response_389,Phase 4 (CC),Delivery Rider,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,All good  
Response_390,Phase 4 (CC),Crew,Part time,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,2. Disagree,2. Disagree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,JJ ma experience ko barhany Ky Liya salary ma 30 percent ezaffa kr dy  thank you 
Response_391,Phase 4 (CC),Delivery Rider,Part time,0-3 months,3. agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,"2. Disagree, 1. Strongly Disagree",1. Strongly Disagree,"3. Agree, 2. Disagree",3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,9,"Ek fix time period mn permanent nahi kiya jata 
baqi sab theek h compear to other brands "
Response_392,Johar Town Branch,Crew,Part time,0-3 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,Hard working kar k or apny har kam mai 100% dena ki khosish hai jj Mai bohat kuch sheekny ko mila ha thanks jj
Response_393,Phase 4 (CC),Crew,Part time,3-6 months,4. strongly agree,2. Disagree,2. Disagree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,7,"Branch leader timely hmare issues o resolve ni krty like AC ka issue boht der tk rha 

Me apni salary py agree ni krta muje lgta salary me increment hona chahiye 

Company humy proper benefits ni provide kr rhi life health benefits, occasional 

JJ me career me grown bilkul favoritism py hoti ha naky skills and performance py "
Response_394,Phase 4 (CC),Crew,Part time,0-3 months,4. strongly agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,2. Disagree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3,Subse phly tu time ka khayal rakha jaye.phir job pr a kr dil sy kam kiya jaye.Har ek kam ko kerny ka tarika pocha jaye agr ni pata tu.Har station pr ek senior lazami hona chahiye jo apny junior ko kam krny ka tarika btaye.or apny junior ko jaldi sy jaldi grow krwaye.thank you so much JJ 
